Latitude	Longitude
31.67514	-106.326522
31.675195	-106.326367
31.67525	-106.326211
31.675304	-106.326058
31.675356	-106.325901
31.675408	-106.325739
31.675467	-106.325572
31.675517	-106.32541
31.675569	-106.325247
31.675623	-106.325092
31.675677	-106.324931
31.675728	-106.324759
31.675776	-106.324588
31.675821	-106.324418
31.675871	-106.324248
31.675922	-106.324073
31.675973	-106.323896
31.676019	-106.323717
31.676066	-106.323538
31.676114	-106.323354
31.676165	-106.32317
31.676217	-106.322978
31.676267	-106.322788
31.676317	-106.322598
31.67637	-106.3224
31.676423	-106.32221
31.676475	-106.322016
31.676526	-106.321824
31.676575	-106.321634
31.676628	-106.321432
31.676684	-106.321225
31.676739	-106.321018
31.676797	-106.320805
31.676856	-106.320593
31.676919	-106.320376
31.676981	-106.32016
31.677041	-106.319944
31.677101	-106.319727
31.67716	-106.31951
31.677224	-106.319285
31.677283	-106.319065
31.677339	-106.31885
31.677399	-106.318634
31.677457	-106.318412
31.677517	-106.318193
31.677583	-106.317988
31.677655	-106.317783
31.677731	-106.317576
31.677814	-106.317372
31.677899	-106.317173
31.677986	-106.316962
31.678079	-106.316769
31.678174	-106.316576
31.678269	-106.316386
31.678366	-106.316196
31.678459	-106.316002
31.678555	-106.315812
31.678647	-106.315613
31.678741	-106.315419
31.678836	-106.31522
31.678939	-106.315019
31.679037	-106.314817
31.679135	-106.314617
31.679238	-106.314421
31.679338	-106.314224
31.679441	-106.314034
31.679539	-106.31384
31.679635	-106.313645
31.679731	-106.313446
31.679828	-106.313253
31.679921	-106.313064
31.680018	-106.312877
31.680112	-106.312687
31.68021	-106.312495
31.68031	-106.312299
31.68041	-106.312104
31.680507	-106.311909
31.680609	-106.311711
31.680708	-106.311514
31.680809	-106.311317
31.680908	-106.311116
31.681008	-106.310916
31.681106	-106.310719
31.681203	-106.310526
31.681302	-106.310331
31.681397	-106.310142
31.68149	-106.309953
31.681582	-106.30977
31.681672	-106.309589
31.681764	-106.309406
31.681854	-106.309228
31.681944	-106.309051
31.682034	-106.308877
31.682126	-106.308702
31.682224	-106.308519
31.682319	-106.308341
31.682413	-106.308156
31.6825	-106.307975
31.682591	-106.307784
31.68268	-106.30759
31.682766	-106.307394
31.68285	-106.307195
31.682935	-106.306994
31.683021	-106.306793
31.683109	-106.306583
31.683197	-106.306371
31.683289	-106.306155
31.683381	-106.305937
31.683472	-106.305718
31.683563	-106.305497
31.683659	-106.305273
31.683755	-106.305041
31.683847	-106.304805
31.683941	-106.304574
31.684038	-106.304339
31.68414	-106.304104
31.684237	-106.30387
31.684338	-106.303635
31.684439	-106.303391
31.68454	-106.303148
31.684641	-106.302912
31.684741	-106.302672
31.684844	-106.302434
31.684947	-106.302198
31.685042	-106.301971
31.685139	-106.30174
31.685237	-106.301513
31.685332	-106.301284
31.685428	-106.301055
31.685523	-106.30083
31.685615	-106.300607
31.685708	-106.300383
31.685798	-106.30016
31.685893	-106.299939
31.685989	-106.299717
31.686088	-106.299492
31.68619	-106.299269
31.686291	-106.29905
31.686394	-106.298833
31.686504	-106.298619
31.686621	-106.298409
31.686748	-106.298203
31.686882	-106.298001
31.687022	-106.297806
31.687167	-106.297607
31.687322	-106.297409
31.687482	-106.29722
31.687644	-106.297032
31.687811	-106.296848
31.687981	-106.296671
31.688158	-106.296501
31.688345	-106.296336
31.688531	-106.296167
31.688721	-106.296001
31.688908	-106.295831
31.689098	-106.295658
31.689289	-106.295482
31.689479	-106.295315
31.68967	-106.295148
31.689853	-106.294981
31.69004	-106.294812
31.690232	-106.294644
31.690417	-106.294478
31.690596	-106.294311
31.690779	-106.294144
31.69096	-106.293975
31.691138	-106.293808
31.691321	-106.293642
31.691498	-106.293474
31.691679	-106.293306
31.691862	-106.293138
31.692045	-106.292967
31.69223	-106.292798
31.692411	-106.292626
31.692595	-106.292455
31.692782	-106.292286
